,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,No genres listed 
3396,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5882,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7025,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7881,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26731,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33587,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
44828,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
47999,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
52712,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
