,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,No genres listed 
4849,,,,,1,,,1,,,,,,,,,,,,
561,,,,,,,,1,,,,,,,,,1,,,
4324,,,,,,,,1,,,,,,,,,,,1,
4714,,,,,1,,,,,,,,,,,,,,,
89408,,,,,,,,,,,1,,,,,,1,,,
3816,,,,,,,,1,,,,,,,,,,,,
98514,,,,,,,,1,,,,,,,,,,1,,
113829,,,,,1,,,1,,,,,,,1,,,,,
2486,,,,,1,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AVG,0.1,0.5,0.3,0.2,0.5,0,0.1,0.2,0.1,0,0.1,0,0.1,0,0.5,0.2,0,0,0.1,0
